Statistic,Unit,Group or category,Estimate,Sampling error,Note
HEDI decile boundary,Dollars (tax year 2018/19),Decile 1,24300,400,
HEDI decile boundary,Dollars (tax year 2018/19),Decile 2,27500,500,
HEDI decile boundary,Dollars (tax year 2018/19),Decile 3,32600,900,
HEDI decile boundary,Dollars (tax year 2018/19),Decile 4,38300,1000,
HEDI decile boundary,Dollars (tax year 2018/19),Decile 5,44700,1100,
HEDI decile boundary,Dollars (tax year 2018/19),Decile 6,52200,1300,
HEDI decile boundary,Dollars (tax year 2018/19),Decile 7,61200,1300,
HEDI decile boundary,Dollars (tax year 2018/19),Decile 8,72300,2000,
HEDI decile boundary,Dollars (tax year 2018/19),Decile 9,93800,4100,
Decile population,Households,Decile 1,175000,1000,
Decile population,Households,Decile 2,176000,4000,
Decile population,Households,Decile 3,173000,4000,
Decile population,Households,Decile 4,175000,2000,
Decile population,Households,Decile 5,176000,2000,
Decile population,Households,Decile 6,174000,2000,
Decile population,Households,Decile 7,175000,2000,
Decile population,Households,Decile 8,177000,3000,
Decile population,Households,Decile 9,174000,3000,
Decile population,Households,Decile 10,175000,1000,
Decile population,Households,All,1749000,0,NB - Zero sampling error by construction of replicate weights
Average Market income,Dollars (tax year 2018/19),Decile 1,12330,2280,
Average Market income,Dollars (tax year 2018/19),Decile 2,16950,2810,
Average Market income,Dollars (tax year 2018/19),Decile 3,36630,4260,
Average Market income,Dollars (tax year 2018/19),Decile 4,57710,4850,
Average Market income,Dollars (tax year 2018/19),Decile 5,79070,4420,
Average Market income,Dollars (tax year 2018/19),Decile 6,94280,4940,
Average Market income,Dollars (tax year 2018/19),Decile 7,115730,6840,
Average Market income,Dollars (tax year 2018/19),Decile 8,146180,5840,
Average Market income,Dollars (tax year 2018/19),Decile 9,176240,10370,
Average Market income,Dollars (tax year 2018/19),Decile 10,337290,29470,
Average Market income,Dollars (tax year 2018/19),All,107330,3970,
Average Disposable income,Dollars (tax year 2018/19),Decile 1,29090,2490,
Average Disposable income,Dollars (tax year 2018/19),Decile 2,41360,1750,
Average Disposable income,Dollars (tax year 2018/19),Decile 3,53320,2840,
Average Disposable income,Dollars (tax year 2018/19),Decile 4,65770,2990,
Average Disposable income,Dollars (tax year 2018/19),Decile 5,79100,3360,
Average Disposable income,Dollars (tax year 2018/19),Decile 6,88070,3350,
Average Disposable income,Dollars (tax year 2018/19),Decile 7,103060,5230,
Average Disposable income,Dollars (tax year 2018/19),Decile 8,124420,4390,
